ID,Latitude,Longitude,Status
1,10.937492,76.744795,4
2,10.938211,76.744851,0
3,10.933896,76.743408,1
4,10.936472,76.743693,0
5,10.935508,76.743649,0
6,10.938686,76.744864,0
7,10.938627,76.744876,0
8,10.938567,76.744886,1
9,10.938499,76.744894,0
10,10.938407,76.744901,0
11,10.93832,76.744893,0
12,10.938248,76.744884,3
13,10.938162,76.744867,0
14,10.938068,76.744861,0
15,10.937953,76.744847,1
16,10.937869,76.744848,2
17,10.93779,76.744845,0
18,10.937716,76.744841,0
19,10.937645,76.744834,0
20,10.937571,76.744821,0
21,10.937495,76.744817,2
22,10.937346,76.744806,0
23,10.937271,76.744792,4
24,10.93719,76.744769,0
25,10.93712,76.744736,1
26,10.937074,76.744682,0
27,10.937034,76.744614,1
28,10.937011,76.744532,0
29,10.937009,76.744402,0
30,10.937012,76.74427,3
31,10.937012,76.744257,0
32,10.937028,76.744134,0
33,10.937021,76.744026,0
34,10.936991,76.743907,0
35,10.936888,76.743927,0
36,10.936864,76.743812,0
37,10.936762,76.743835,3
38,10.936734,76.743722,0
39,10.936654,76.743761,0
40,10.93658,76.743712,0
41,10.936479,76.743702,0
42,10.934978,76.743652,0
43,10.934892,76.743478,0
44,10.934785,76.743482,0
45,10.934675,76.743476,4
46,10.934551,76.74347,0
47,10.934424,76.743453,0
48,10.93419,76.743426,3
49,10.93403,76.743418,0
50,10.933897,76.743413,0
51,10.933706,76.743514,0
52,10.933603,76.743499,0
53,10.933488,76.743485,4
54,10.933373,76.743464,0
55,10.933233,76.743445,0
56,10.933823,76.743367,0
57,10.933736,76.74329,1
58,10.935436,76.743518,0
59,10.93558,76.743528,2
60,10.935685,76.743549,0
61,10.935806,76.743568,4
62,10.935806,76.743686,0
63,10.935923,76.743694,0
64,10.936032,76.743706,1
65,10.936173,76.743719,0
66,10.936293,76.743729,0
67,10.9364,76.743768,0
68,10.936056,76.743597,2
69,10.936213,76.743614,0
70,10.936386,76.743645,2
71,10.936014,76.743583,4
